variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
Wai-iti,Aroma,New Zealand,2.5,4.5,23,NA,8.5,27.5,13,1,apricot
Wai-iti,Aroma,New Zealand,2.5,4.5,23,NA,8.5,27.5,13,1,limes
Wai-iti,Aroma,New Zealand,2.5,4.5,23,NA,8.5,27.5,13,1,mixed
Wai-iti,Aroma,New Zealand,2.5,4.5,23,NA,8.5,27.5,13,1,citrus
Wai-iti,Aroma,New Zealand,2.5,4.5,23,NA,8.5,27.5,13,1,spice
Whitbread Golding,Aroma,United Kingdom,6,2.5,37.5,23,13,38.5,1.5,0.5,earth
Whitbread Golding,Aroma,United Kingdom,6,2.5,37.5,23,13,38.5,1.5,0.5,floral
Whitbread Golding,Aroma,United Kingdom,6,2.5,37.5,23,13,38.5,1.5,0.5,botanical
Whitbread Golding,Aroma,United Kingdom,6,2.5,37.5,23,13,38.5,1.5,0.5,sweet
Whitbread Golding,Aroma,United Kingdom,6,2.5,37.5,23,13,38.5,1.5,0.5,fruit
Zythos®,Aroma,United States,11,5,29.5,NA,NA,NA,NA,0.5,pineapple
Zythos®,Aroma,United States,11,5,29.5,NA,NA,NA,NA,0.5,citrus
Zythos®,Aroma,United States,11,5,29.5,NA,NA,NA,NA,0.5,pine
Admiral,Bittering,United Kingdom,14,5,41,39.5,7,7.5,NA,1,resin
Admiral,Bittering,United Kingdom,14,5,41,39.5,7,7.5,NA,1,citrus
Admiral,Bittering,United Kingdom,14,5,41,39.5,7,7.5,NA,1,orange
Admiral,Bittering,United Kingdom,14,5,41,39.5,7,7.5,NA,1,herbal
Bravo,Bittering,United States,16.5,4,31.5,57.5,7,9.5,0.5,2.5,orange
Bravo,Bittering,United States,16.5,4,31.5,57.5,7,9.5,0.5,2.5,vanilla
Bravo,Bittering,United States,16.5,4,31.5,57.5,7,9.5,0.5,2.5,floral
Brewers Gold,Bittering,United States,8,3.75,44,45.5,8.75,22.5,0.5,1.75,blackcurrant
Brewers Gold,Bittering,United States,8,3.75,44,45.5,8.75,22.5,0.5,1.75,fruity
Brewers Gold,Bittering,United States,8,3.75,44,45.5,8.75,22.5,0.5,1.75,spicy
Brewers Gold,Bittering,United States,8,3.75,44,45.5,8.75,22.5,0.5,1.75,blackcurrant
Brewers Gold,Bittering,United States,8,3.75,44,45.5,8.75,22.5,0.5,1.75,spicy
Chelan,Bittering,United States,13,8.5,34,50,10.5,13.5,0.5,1,floral
Chelan,Bittering,United States,13,8.5,34,50,10.5,13.5,0.5,1,citrus
Columbus,Bittering,United States,15,4.5,32.5,35,10,20,0.5,1.5,pepper
Columbus,Bittering,United States,15,4.5,32.5,35,10,20,0.5,1.5,licorice
Columbus,Bittering,United States,15,4.5,32.5,35,10,20,0.5,1.5,curry
Columbus,Bittering,United States,15,4.5,32.5,35,10,20,0.5,1.5,citrus
Comet,Bittering,United States,9,4.5,35.5,47.5,12.5,1.5,0.5,1.5,wild
Comet,Bittering,United States,9,4.5,35.5,47.5,12.5,1.5,0.5,1.5,grassy
Comet,Bittering,United States,9,4.5,35.5,47.5,12.5,1.5,0.5,1.5,grapefruit
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,weet
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,fruits
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,pear
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,pineapple
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,blackcurrant
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,grapefruit
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,lime
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,gooseberry
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,spicy
Galena,Bittering,United States,13,8,40,57.5,4,12.5,0.5,0.5,wood
